player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
CJ Harris,130594,QB,OHIO,4,58.1,31,33,10.6,2.84,0,2,5.7,45.5,15,0,11,16.7,35,3,8,259,50.5,72.4,71.8,63.8,1,0,37,0,9.1,79.1,2.9,1,1,0,1,1,0,0.0,230,7.0
Joe Milton III,82151,QB,TENNESSEE,6,72.7,33,33,18.8,3.19,0,5,12.8,69.7,23,0,8,4.2,36,1,16,307,70.9,87.0,79.3,80.7,0,0,43,0,0.0,151.8,0.0,0,3,0,0,6,1,2.4,573,17.4
Giles Pooler,146019,QB,COLO STATE,1,44.8,29,32,12.9,2.75,1,0,0.0,34.4,11,0,17,15.4,37,2,6,144,43.9,33.1,33.3,53.8,1,1,42,0,17.6,36.5,8.1,3,2,0,1,0,4,9.5,144,4.5
Harrison Bailey,124266,QB,UNLV,4,54.8,31,32,7.7,2.87,0,0,0.0,50.0,16,0,12,5.9,42,1,8,325,69.1,46.5,39.6,65.6,0,0,42,0,25.0,58.2,7.1,3,7,0,1,0,1,2.4,111,3.5
Tate Rodemaker,122414,QB,FLORIDA ST,6,70.4,27,32,12.6,3.29,2,2,5.4,56.3,18,0,21,5.3,38,1,11,167,41.0,73.0,68.1,70.4,0,2,43,2,19.0,76.8,10.5,4,2,0,3,2,4,9.3,254,7.9
Austin Burton,60577,QB,PURDUE,2,86.2,29,32,4.9,2.71,0,0,0.0,75.0,24,0,9,4.0,35,1,12,273,44.3,69.5,70.4,60.2,0,1,38,0,11.1,108.7,2.9,1,2,0,3,3,1,2.6,199,6.2
Davis Beville,99588,QB,OKLAHOMA,3,57.1,28,30,10.9,2.94,1,0,0.0,50.0,15,0,8,6.3,36,1,6,261,73.7,54.2,50.1,59.3,0,1,37,0,75.0,44.0,16.7,6,0,0,1,0,1,2.7,102,3.4
D'Wan Mathis,99130,QB,TEMPLE,3,68.0,25,30,6.2,2.59,2,1,3.3,46.7,14,0,15,17.6,35,3,5,306,13.4,39.8,54.5,25.1,0,0,35,2,20.0,58.3,8.6,3,2,0,3,0,0,0.0,125,4.2
Byrum Brown,156206,QB,USF,3,78.6,28,29,7.6,2.64,1,2,6.3,75.9,22,0,8,0.0,36,0,13,327,72.8,82.9,82.9,69.1,0,0,39,1,50.0,142.2,11.1,4,2,0,0,4,1,2.6,260,9.0
Kaiya Sheron,62530,QB,KENTUCKY,2,70.4,27,29,7.3,2.69,1,1,3.3,58.6,17,0,13,10.5,37,2,8,202,70.6,70.3,68.7,63.4,0,1,38,0,46.2,86.4,16.2,6,1,0,1,2,0,0.0,187,6.4
Carson Beck,124010,QB,GEORGIA,4,82.8,29,29,7.0,2.34,0,2,6.5,75.9,22,0,5,8.3,32,2,14,173,36.5,79.7,87.4,49.3,0,0,34,0,0.0,136.9,0.0,0,2,0,0,3,0,0.0,258,8.9
Cade Fortin,77620,QB,ARKANSAS,3,61.5,26,29,9.5,2.55,0,2,6.9,48.3,14,0,11,12.5,33,2,7,111,29.9,60.6,56.9,66.5,1,0,33,0,27.3,73.2,9.1,3,1,0,2,1,1,3.0,135,4.7
Jayden Clemons,100571,QB,WYOMING,3,55.2,29,29,14.9,2.65,0,2,6.9,41.4,12,0,7,25.0,30,4,8,351,73.9,61.0,55.2,67.5,0,3,30,1,0.0,29.3,0.0,0,1,0,0,1,3,10.0,145,5.0
Ethan Garbers,131896,QB,UCLA,4,81.5,27,28,7.1,2.36,1,0,0.0,71.4,20,0,2,9.1,30,2,12,324,29.7,49.4,45.3,63.1,0,1,31,0,50.0,108.5,3.3,1,1,0,0,2,3,9.7,255,9.1
James Foster,83563,QB,CHARLOTTE,5,52.0,25,28,11.0,3.44,0,2,5.9,42.9,12,0,13,7.7,36,1,8,136,39.5,52.8,54.1,52.6,1,1,42,0,23.1,72.0,8.3,3,5,0,2,2,2,4.8,170,6.1
Cade McNamara,101620,QB,MICHIGAN,3,77.3,22,26,5.9,2.46,0,0,0.0,53.8,14,0,12,17.6,30,3,7,222,68.2,44.0,42.8,,0,1,30,0,33.3,72.6,13.3,4,0,1,3,1,1,3.3,180,6.9
Malik Hornsby,123957,QB,ARKANSAS,5,52.2,23,26,9.5,3.65,1,1,3.7,46.2,12,0,19,0.0,41,0,12,111,28.4,56.2,41.5,67.0,2,2,42,1,26.3,60.6,12.2,5,9,0,0,1,4,9.5,245,9.4
Evan Prater,123576,QB,CINCINNATI,5,81.8,22,25,7.6,3.07,1,0,0.0,72.0,18,0,10,0.0,31,0,13,138,44.6,80.6,70.6,76.3,1,0,34,0,40.0,101.8,12.9,4,2,0,1,0,0,0.0,238,9.5
Artur Sitkowski,83547,QB,ILLINOIS,3,79.2,24,25,4.7,2.29,0,1,3.8,72.0,18,0,3,5.3,26,1,5,187,71.0,61.6,56.1,66.2,0,1,27,1,0.0,63.9,0.0,0,1,0,1,0,1,3.7,111,4.4
CJ Montes,146114,QB,NEW MEXICO,3,78.9,19,25,7.7,2.76,0,0,0.0,60.0,15,0,7,0.0,29,0,5,241,72.6,61.4,66.1,57.4,1,1,30,2,14.3,54.1,3.4,1,3,0,5,0,0,0.0,112,4.5
Brendon Lewis,131687,QB,COLORADO,2,71.4,21,24,3.9,3.2,1,1,4.0,62.5,15,0,14,0.0,32,0,5,143,31.9,51.4,52.0,58.5,1,0,33,1,14.3,70.1,6.3,2,6,0,1,0,2,6.1,92,3.8
Kai Horton,144418,QB,TULANE,3,63.6,22,23,14.7,2.56,0,0,0.0,56.5,13,0,7,7.1,26,1,9,319,25.7,50.8,46.3,64.5,0,0,27,0,42.9,118.7,11.5,3,0,0,1,3,2,7.4,165,7.2
Eddie Lee Marburger,145511,QB,UTSA,5,57.1,21,23,13.4,2.82,0,1,3.8,43.5,10,0,9,16.7,27,2,8,331,20.3,60.9,49.6,75.0,1,0,30,0,22.2,70.9,7.4,2,2,0,1,1,2,6.7,100,4.3
Cole Freeman,145032,QB,NWESTERN,2,52.4,21,23,8.1,2.97,0,0,0.0,43.5,10,0,8,9.1,30,1,5,256,14.0,28.4,27.8,48.9,0,1,31,0,25.0,36.5,6.7,2,5,0,2,0,4,12.9,90,3.9
Kyron Drones,144506,QB,BAYLOR,3,70.0,20,22,13.1,3.4,0,3,12.5,63.6,14,0,8,0.0,25,0,13,118,70.6,72.2,73.6,60.0,0,1,27,0,0.0,92.8,0.0,0,3,0,2,1,1,3.7,219,10.0
Cade Klubnik,156253,QB,CLEMSON,6,60.0,20,22,7.4,3.45,0,1,3.8,50.0,11,0,9,8.3,26,1,6,140,73.0,60.9,50.8,69.2,0,1,31,0,22.2,58.5,7.7,2,2,0,2,1,2,6.5,98,4.5
Jake Lange,121467,QB,SO MISS,4,60.0,20,21,11.7,2.46,1,2,8.3,52.4,11,0,11,8.3,25,1,6,296,19.2,51.5,56.1,46.3,0,1,28,0,27.3,47.7,12.0,3,1,0,0,0,2,7.1,110,5.2
Jarrett Guest,97997,QB,COAST CAR,4,57.9,19,21,14.5,2.92,0,2,8.3,47.6,10,0,11,9.1,29,1,9,141,71.2,56.6,53.7,63.0,0,3,33,1,27.3,43.1,10.3,3,5,0,2,0,2,6.1,206,9.8
Gunnar Holmberg,77625,QB,FIU,1,73.7,19,21,6.7,2.66,0,0,0.0,66.7,14,0,8,0.0,27,0,7,166,28.3,59.3,59.3,60.4,0,0,30,0,12.5,93.9,3.7,1,5,1,1,1,2,6.7,103,4.9
Justin Lynch,144392,QB,N ILLINOIS,3,66.7,15,20,7.7,2.47,2,0,0.0,50.0,10,0,4,0.0,21,0,4,254,45.1,65.9,51.7,67.0,1,0,21,0,0.0,68.3,0.0,0,1,0,2,0,0,0.0,118,5.9
Ty Thompson,146568,QB,OREGON,5,77.8,18,20,3.3,2.0,2,0,0.0,55.0,11,0,1,21.4,21,3,5,264,70.4,53.9,55.1,53.7,0,2,24,0,0.0,23.3,0.0,0,0,0,0,0,0,0.0,72,3.6
Nick Patti,77614,QB,PITTSBURGH,1,56.3,16,20,8.9,2.8,1,0,0.0,45.0,9,0,12,0.0,24,0,4,268,68.9,62.2,63.5,60.9,0,0,25,1,16.7,72.7,8.3,2,2,0,3,1,0,0.0,79,4.0
Chandler Morris,122938,QB,TCU,1,80.0,20,20,5.2,2.34,0,0,0.0,65.0,13,0,5,18.8,21,3,6,305,70.8,61.4,68.6,53.2,0,0,22,2,0.0,79.4,0.0,0,1,0,0,0,0,0.0,111,5.6
Kyle McCord,145053,QB,OHIO STATE,6,84.2,19,20,4.1,2.25,0,0,0.0,80.0,16,0,4,0.0,20,0,8,260,69.7,73.4,76.5,55.8,1,0,20,0,0.0,122.9,0.0,0,0,0,0,1,0,0.0,190,9.5
Logan Smothers,129713,QB,NEBRASKA,3,76.5,17,19,7.3,2.73,0,2,10.5,52.6,10,0,11,23.1,24,3,5,238,35.2,76.8,73.3,68.1,1,0,24,0,36.4,67.0,16.7,4,1,0,1,0,1,4.2,96,5.1
Noah Fifita,158722,QB,ARIZONA,3,64.7,17,19,7.6,2.52,1,1,4.8,47.4,9,0,5,18.2,19,2,4,109,67.2,80.6,79.9,,0,0,21,0,0.0,87.2,0.0,0,0,0,1,1,0,0.0,128,6.7
AJ Padgett,163006,QB,RICE,1,55.6,18,19,7.6,2.37,0,0,0.0,42.1,8,0,6,20.0,23,2,3,275,15.2,32.0,38.3,48.3,0,0,23,1,33.3,79.7,8.7,2,2,0,1,1,2,8.7,114,6.0
Noah Kim,129623,QB,MICH STATE,4,88.2,17,19,10.4,2.79,0,2,10.0,73.7,14,0,2,6.7,20,1,9,223,67.2,84.0,86.1,57.0,0,0,21,0,0.0,141.2,0.0,0,1,0,2,3,0,0.0,174,9.2
Wiley Green,75891,QB,RICE,2,72.2,18,18,7.4,2.3,0,0,0.0,66.7,12,0,7,7.7,20,1,6,275,67.7,48.8,51.2,52.8,0,1,20,0,14.3,56.5,5.0,1,1,0,0,0,1,5.0,95,5.3
Desmond Trotter,83552,QB,S ALABAMA,3,88.2,17,18,3.8,2.29,0,0,0.0,77.8,14,0,10,6.7,21,1,8,288,69.5,73.8,68.3,70.3,0,0,26,0,10.0,96.1,4.8,1,2,0,1,0,0,0.0,127,7.1
Ty Keyes,145417,QB,SO MISS,2,58.8,17,17,13.5,2.6,0,2,11.1,58.8,10,0,6,0.0,20,0,6,296,72.5,65.0,63.4,62.0,0,2,21,0,0.0,103.2,0.0,0,3,0,0,3,1,4.8,272,16.0
Luke Altmyer,146802,QB,OLE MISS,3,56.3,16,17,10.6,2.42,0,0,0.0,47.1,8,0,6,11.1,18,1,7,226,26.6,48.7,50.1,52.2,0,1,21,0,16.7,86.6,5.6,1,0,0,1,2,2,9.5,125,7.4
Kyle Crum,158784,QB,S DIEGO ST,2,31.3,16,17,12.7,2.7,1,0,0.0,29.4,5,0,12,0.0,22,0,3,284,20.2,28.2,26.9,58.3,0,1,24,1,33.3,35.2,18.2,4,1,0,0,1,5,20.8,53,3.1
Justin Ibieta,123220,QB,TULANE,3,81.3,16,16,3.0,2.36,0,0,0.0,81.3,13,0,3,0.0,18,0,7,319,69.6,64.5,63.8,60.1,0,0,18,0,0.0,102.6,0.0,0,2,0,0,0,0,0.0,138,8.6
Trexler Ivey,122184,QB,CHARLOTTE,1,60.0,15,16,9.5,3.37,0,0,0.0,56.3,9,0,2,0.0,18,0,7,136,22.9,57.4,54.4,63.7,0,0,18,0,50.0,96.1,5.6,1,1,0,1,1,1,5.6,101,6.3
Dylan Morris,100570,QB,WASHINGTON,4,78.6,14,16,11.9,2.95,1,0,0.0,56.3,9,0,8,18.2,20,2,9,340,69.7,73.7,72.1,64.3,0,1,20,0,12.5,80.7,5.0,1,3,0,1,1,1,5.0,142,8.9
Jackson Stratton,157206,QB,COLO STATE,2,40.0,15,16,17.7,3.8,0,1,5.9,25.0,4,0,8,33.3,17,2,4,144,66.8,44.9,41.8,63.7,1,2,18,0,0.0,28.6,0.0,0,1,0,0,1,3,16.7,78,4.9
Kai Millner,146286,QB,CAL,2,71.4,14,15,9.0,2.41,1,2,13.3,60.0,9,0,6,10.0,16,1,5,130,67.4,82.9,80.8,64.2,0,0,16,0,0.0,125.3,0.0,0,1,0,0,2,0,0.0,121,8.1
Levi Williams,98365,QB,UTAH ST,3,38.5,13,15,16.4,2.21,0,0,0.0,26.7,4,0,3,20.0,15,1,3,329,28.2,53.0,53.8,62.6,2,0,16,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,27,1.8
Tyhier Tyler,82083,QB,ARMY,8,50.0,12,15,19.4,3.66,1,0,0.0,40.0,6,0,12,0.0,22,0,8,114,47.3,75.8,46.5,74.8,0,1,22,1,16.7,99.3,9.1,2,5,0,2,2,2,9.1,234,15.6
Kevin Jennings,158272,QB,SMU,2,78.6,14,14,5.6,2.03,0,1,6.3,78.6,11,0,2,0.0,16,0,7,287,26.2,64.5,73.9,44.5,0,0,18,0,50.0,126.8,6.3,1,1,0,0,1,1,5.6,122,8.7
Luke Doty,124230,QB,S CAROLINA,3,71.4,14,14,6.6,2.39,0,1,7.1,71.4,10,0,3,0.0,14,0,5,289,70.0,67.8,50.1,80.0,0,2,14,0,0.0,105.1,0.0,0,0,0,0,2,2,14.3,146,10.4
Sam Vidlak,146333,QB,BOISE ST,3,75.0,12,14,10.8,2.48,0,1,6.7,64.3,9,0,7,0.0,16,0,1,120,68.2,62.8,65.1,60.1,1,0,17,2,28.6,81.3,12.5,2,0,0,1,0,0,0.0,86,6.1
Jalen Kitna,146688,QB,FLORIDA,2,71.4,14,14,14.0,2.75,0,1,5.9,71.4,10,0,3,0.0,14,0,8,163,66.7,68.4,70.5,,0,0,17,1,0.0,137.5,0.0,0,0,0,0,1,0,0.0,181,12.9
Miller Moss,70727,QB,USC,2,85.7,14,14,2.2,2.54,0,1,7.1,85.7,12,0,3,0.0,14,0,7,326,68.7,71.3,71.1,60.8,0,0,14,0,0.0,137.8,0.0,0,0,0,0,1,0,0.0,159,11.4
Jason Brown,109060,QB,VA TECH,3,75.0,12,13,10.1,2.67,1,1,7.1,53.8,7,0,4,22.2,15,2,4,337,66.5,73.5,72.8,,0,0,16,0,50.0,67.8,13.3,2,0,0,0,0,0,0.0,65,5.0
Maasai Maynor,101057,QB,NAVY,2,63.6,11,13,16.8,3.28,0,3,18.8,53.8,7,0,7,0.0,16,0,6,237,25.8,61.8,61.5,60.3,1,0,19,0,14.3,114.9,6.3,1,2,1,0,1,2,10.5,132,10.2
Darius Ocean,123459,QB,W KENTUCKY,3,66.7,12,12,12.8,2.89,0,2,15.4,58.3,7,0,6,12.5,17,1,5,346,69.0,48.5,54.2,48.6,0,1,18,0,50.0,102.4,17.6,3,2,0,0,2,2,11.1,135,11.3
Jack Tuttle,83580,QB,INDIANA,1,90.0,10,12,3.3,2.53,1,0,0.0,75.0,9,0,7,0.0,19,0,4,190,69.1,68.8,73.4,58.3,0,0,19,0,42.9,120.8,15.8,3,4,0,1,1,0,0.0,82,6.8
Nate Yarnell,144037,QB,PITTSBURGH,1,83.3,12,12,12.4,2.49,0,2,15.4,75.0,9,0,2,10.0,13,1,8,268,68.7,68.3,75.4,57.4,0,0,14,1,50.0,144.4,7.7,1,0,0,0,1,1,7.1,179,14.9
Zamar Wise,128106,QB,UMASS,2,45.5,11,12,9.8,2.89,0,0,0.0,33.3,4,0,6,20.0,16,1,2,216,73.0,50.0,40.6,62.5,1,0,17,0,50.0,45.1,18.8,3,1,0,0,0,1,5.9,44,3.7
Cale Millen,98017,QB,UCONN,6,44.4,9,12,5.7,2.95,1,0,0.0,33.3,4,0,4,0.0,12,0,1,146,74.8,64.3,53.9,68.3,0,0,12,0,0.0,70.1,0.0,0,0,0,2,1,0,0.0,25,2.1
Parker Navarro,123758,QB,OHIO,2,50.0,10,12,3.9,2.87,1,0,0.0,41.7,5,0,8,0.0,17,0,4,259,13.8,33.0,26.9,68.0,0,0,17,0,37.5,51.7,17.6,3,2,0,1,0,2,11.8,43,3.6
Mason Garcia,123811,QB,E CAROLINA,2,66.7,12,12,6.0,3.14,0,0,0.0,58.3,7,0,4,12.5,15,1,2,156,68.1,62.0,61.0,60.9,0,0,15,0,25.0,69.4,6.7,1,2,0,0,0,0,0.0,54,4.5
Sawyer Robertson,146839,QB,MISS STATE,3,54.5,11,11,4.2,2.36,0,0,0.0,54.5,6,0,5,0.0,13,0,1,227,66.0,63.2,58.3,64.2,0,1,13,0,20.0,22.2,7.7,1,1,0,0,0,0,0.0,23,2.1
Quincy Patterson II,77626,QB,TEMPLE,2,63.6,11,11,4.9,2.25,0,0,0.0,54.5,6,0,2,14.3,11,1,5,306,26.1,51.8,64.1,51.1,0,0,11,0,0.0,71.8,0.0,0,0,0,0,0,0,0.0,64,5.8
Frank Gore Jr.,121457,HB,SO MISS,6,50.0,10,10,21.4,2.95,0,3,21.4,40.0,4,1,5,20.0,11,1,5,296,83.8,84.2,76.8,83.4,0,0,15,1,0.0,127.1,0.0,0,1,0,0,2,0,0.0,147,14.7
Xavier Arline,121831,QB,NAVY,5,33.3,9,10,15.6,3.48,0,2,16.7,30.0,3,0,13,0.0,19,0,5,237,47.6,63.7,43.1,66.8,0,1,22,2,38.5,45.8,26.3,5,4,0,1,1,2,9.1,60,6.0
Alex Padilla,86285,QB,IOWA,1,66.7,9,10,7.6,2.89,0,0,0.0,50.0,5,0,8,16.7,13,1,1,192,22.5,41.6,49.6,44.6,1,1,13,0,37.5,17.5,23.1,3,0,0,0,0,0,0.0,32,3.2
Davis Warren,73940,QB,MICHIGAN,4,55.6,9,9,11.9,2.9,0,1,11.1,55.6,5,0,4,0.0,11,0,4,222,68.5,68.4,63.6,65.3,0,0,11,0,0.0,89.6,0.0,0,2,0,0,0,0,0.0,89,9.9
Jaxon Dailey,156650,QB,ARK STATE,1,55.6,9,9,4.2,2.15,0,0,0.0,55.6,5,0,3,0.0,10,0,2,113,66.0,50.3,49.8,,0,0,13,0,33.3,64.1,10.0,1,0,0,0,0,0,0.0,34,3.8
Ari Patu,146360,QB,STANFORD,3,87.5,8,9,12.0,2.69,0,1,11.1,66.7,6,0,3,14.3,10,1,6,300,67.5,82.6,85.0,60.8,0,0,10,0,0.0,127.3,0.0,0,1,0,1,2,0,0.0,65,7.2
Carl Richardson,129735,QB,NWESTERN,2,37.5,8,9,9.4,2.97,0,0,0.0,33.3,3,0,2,0.0,9,0,1,256,65.4,29.3,29.1,,1,1,10,0,0.0,8.3,0.0,0,0,0,0,0,1,10.0,39,4.3
Grant Gunnell,98367,QB,N TEXAS,2,44.4,9,9,12.2,2.95,0,1,11.1,44.4,4,0,4,0.0,10,0,2,251,65.4,45.5,42.4,,0,1,10,0,25.0,34.3,10.0,1,0,0,0,0,1,10.0,75,8.3
Christian Veilleux,145086,QB,PENN STATE,3,100.0,9,9,3.7,2.02,0,0,0.0,77.8,7,0,1,22.2,10,2,4,266,68.4,80.9,86.6,57.2,0,0,10,0,100.0,87.0,10.0,1,0,0,0,0,0,0.0,44,4.9
Thomas Castellanos,158433,QB,UCF,3,100.0,8,8,1.8,1.44,0,0,0.0,87.5,7,0,1,12.5,8,1,3,323,72.1,90.5,78.5,81.9,0,0,8,1,0.0,102.1,0.0,0,0,0,0,0,0,0.0,68,8.5
Nate Hampton,147548,QB,LIBERTY,3,37.5,8,8,20.3,3.39,0,1,11.1,37.5,3,0,5,0.0,11,0,2,206,74.1,49.7,40.8,60.3,0,0,12,0,40.0,72.9,18.2,2,1,0,0,0,1,8.3,76,9.5
Cole Kramer,101627,QB,MINNESOTA,3,62.5,8,8,6.4,2.26,0,0,0.0,62.5,5,0,1,0.0,8,0,1,225,71.0,71.3,63.3,68.9,0,0,8,0,0.0,75.5,0.0,0,0,0,0,0,0,0.0,41,5.1
Liu Aumavae,158776,QB,S DIEGO ST,2,25.0,8,8,12.0,2.44,0,0,0.0,12.5,1,0,0,50.0,8,1,0,284,66.2,55.5,54.1,60.0,0,0,8,0,,39.6,0.0,0,0,0,0,0,1,12.5,2,0.3
Garrett Hable,123480,QB,LA MONROE,3,62.5,8,8,5.9,2.09,0,0,0.0,50.0,4,0,4,20.0,9,1,2,209,67.4,55.5,52.1,60.3,0,0,9,0,0.0,74.0,0.0,0,1,0,0,0,0,0.0,58,7.3
Jack Abraham,40557,QB,MISSOURI,3,71.4,7,8,11.1,2.43,1,0,0.0,37.5,3,0,3,40.0,8,2,2,229,64.9,60.3,58.7,,0,2,8,0,0.0,16.7,0.0,0,0,0,0,0,1,12.5,44,5.5
Mareyohn Hrabowski,145923,QB,W MICHIGAN,3,66.7,6,8,13.5,3.15,1,1,7.7,50.0,4,0,7,0.0,14,0,3,347,75.2,63.8,62.5,61.7,1,0,19,0,14.3,72.9,7.1,1,5,0,0,0,0,0.0,56,7.0
Will Haskell,146153,QB,S DIEGO ST,2,50.0,6,7,9.7,2.59,1,0,0.0,42.9,3,0,2,0.0,8,0,2,284,67.2,50.8,45.8,60.3,0,0,8,0,0.0,50.3,0.0,0,1,0,0,0,0,0.0,12,1.7
AJ Duffy,156292,QB,FLORIDA ST,3,33.3,6,7,14.3,3.31,0,0,0.0,28.6,2,0,5,0.0,8,0,1,167,67.2,48.0,47.6,57.0,0,0,8,0,0.0,82.1,0.0,0,1,0,1,1,0,0.0,26,3.7
Alan Bowman,77679,QB,MICHIGAN,2,85.7,7,7,4.0,2.53,0,0,0.0,85.7,6,0,1,0.0,7,0,4,222,64.6,57.4,56.3,,0,0,7,0,0.0,142.0,0.0,0,0,0,0,1,0,0.0,60,8.6
Michael Alaimo,129802,QB,PURDUE,2,71.4,7,7,12.0,2.51,0,0,0.0,71.4,5,0,2,0.0,8,0,2,273,66.2,71.0,64.1,67.8,0,0,8,0,0.0,83.6,0.0,0,1,0,0,0,0,0.0,37,5.3
Chance Lovertich,121427,QB,MISS STATE,1,100.0,6,6,3.8,3.17,0,0,0.0,100.0,6,0,1,0.0,7,0,3,227,64.9,61.5,61.2,,0,0,8,0,100.0,131.3,14.3,1,0,0,0,1,0,0.0,36,6.0
Willie Taggart Jr.,123613,QB,FAU,3,40.0,5,6,8.6,2.69,0,0,0.0,33.3,2,0,3,0.0,7,0,1,165,74.6,52.3,39.1,61.0,0,0,8,0,0.0,42.4,0.0,0,1,0,1,0,0,0.0,14,2.3
Will Crowder,144781,QB,W VIRGINIA,1,100.0,6,6,8.5,2.14,0,1,14.3,100.0,6,0,2,0.0,7,0,4,343,64.9,92.6,91.9,64.3,0,0,8,0,0.0,145.8,0.0,0,1,0,0,1,0,0.0,57,9.5
Henry Belin IV,162693,QB,DUKE,1,100.0,6,6,1.7,2.41,0,0,0.0,83.3,5,0,2,16.7,7,1,2,154,20.1,52.8,68.6,43.3,0,0,8,0,50.0,96.5,14.3,1,0,0,0,0,0,0.0,43,7.2
Bert Emanuel Jr.,158581,QB,C MICHIGAN,2,80.0,5,6,6.4,3.65,0,0,0.0,66.7,4,0,8,0.0,15,0,4,134,35.0,75.2,37.8,75.5,0,0,15,1,37.5,95.1,20.0,3,6,0,1,0,1,6.7,54,9.0
Ryan Burger,157544,QB,APP STATE,1,83.3,6,6,5.3,3.34,0,0,0.0,66.7,4,0,2,20.0,8,1,4,108,64.9,71.5,59.6,70.8,0,0,8,0,0.0,85.4,0.0,0,2,0,0,0,0,0.0,40,6.7
Sam Jackson,144682,QB,TCU,3,100.0,5,5,2.2,2.94,0,0,0.0,100.0,5,0,3,0.0,7,0,3,305,72.1,88.3,83.4,73.4,0,0,7,0,33.3,118.8,14.3,1,1,0,0,0,0,0.0,63,12.6
Kinkead Dent,99132,QB,OLE MISS,2,60.0,5,5,8.8,1.88,0,0,0.0,60.0,3,0,1,0.0,5,0,0,226,63.8,64.3,63.1,,0,0,5,0,0.0,64.6,0.0,0,0,0,0,0,0,0.0,7,1.4
Stone Hollenbach,99128,QB,W MICHIGAN,1,80.0,5,5,5.0,2.32,0,0,0.0,80.0,4,0,2,0.0,6,0,2,347,64.2,27.8,27.3,,0,1,6,0,50.0,39.6,16.7,1,0,0,0,0,1,16.7,15,3.0
Henry Hesson,145798,QB,MIAMI OH,1,60.0,5,5,18.2,2.62,0,0,0.0,40.0,2,0,1,33.3,6,1,2,221,65.7,71.7,76.1,56.9,0,0,6,0,0.0,66.3,0.0,0,1,0,0,0,0,0.0,37,7.4
Jacolby Criswell,122830,QB,N CAROLINA,2,66.7,3,5,3.0,2.1,2,0,0.0,20.0,1,0,2,50.0,5,1,0,245,66.8,61.0,55.5,62.7,0,0,5,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,4,0.8
Ashton Daniels,157259,QB,STANFORD,4,100.0,4,5,2.5,2.29,0,0,0.0,80.0,4,0,3,0.0,7,0,1,300,23.0,76.7,46.1,75.6,1,0,7,0,33.3,95.0,14.3,1,0,0,0,0,0,0.0,34,6.8
Myles Burkett,158691,QB,WISCONSIN,2,100.0,4,5,18.8,2.8,0,0,0.0,80.0,4,0,3,0.0,6,0,3,349,64.2,78.6,78.3,,0,0,6,0,33.3,118.8,16.7,1,0,0,1,0,0,0.0,84,16.8
Taisun Phommachanh,99577,QB,GA TECH,1,40.0,5,5,15.0,3.43,0,0,0.0,40.0,2,0,2,0.0,6,0,2,176,72.2,56.6,41.5,65.1,0,1,6,0,0.0,8.3,0.0,0,1,0,0,0,1,16.7,13,2.6
Ryan Glover,109047,QB,MEMPHIS,2,80.0,5,5,4.0,2.48,0,0,0.0,80.0,4,0,3,0.0,8,0,1,218,71.6,80.4,58.9,78.3,0,0,8,0,66.7,90.8,25.0,2,1,0,0,0,0,0.0,29,5.8
Brendan Sorsby,156398,QB,INDIANA,1,40.0,5,5,8.8,1.9,0,0,0.0,40.0,2,0,3,0.0,8,0,0,190,64.9,31.6,30.9,,0,1,8,0,66.7,8.3,25.0,2,0,0,0,0,1,12.5,7,1.4
Ty Simpson,157008,QB,ALABAMA,3,100.0,4,5,5.0,1.92,1,0,0.0,80.0,4,0,0,0.0,5,0,3,103,68.9,69.4,68.1,61.3,0,0,5,0,,95.8,0.0,0,0,0,0,0,0,0.0,35,7.0
Jake Rubley,144589,QB,KANSAS ST,2,80.0,5,5,7.8,3.43,0,0,0.0,80.0,4,0,3,0.0,8,0,1,199,71.6,54.2,55.8,56.8,0,1,9,0,33.3,63.8,12.5,1,2,0,0,0,1,11.1,44,8.8
Ethan Vasko,163817,QB,KANSAS,1,50.0,4,5,11.0,3.39,0,0,0.0,40.0,2,0,4,0.0,7,0,1,198,64.6,51.1,43.0,64.9,1,0,7,0,25.0,47.9,14.3,1,1,0,0,0,0,0.0,13,2.6
Bryce Carpenter,82101,QB,COAST CAR,3,75.0,4,5,7.5,2.38,1,0,0.0,60.0,3,0,3,0.0,6,0,3,141,80.0,74.7,72.8,67.8,0,0,6,1,0.0,140.8,0.0,0,1,0,0,1,0,0.0,59,11.8
Maddux Madsen,163379,QB,BOISE ST,1,75.0,4,4,7.8,2.1,0,0,0.0,75.0,3,0,0,0.0,4,0,1,120,65.2,65.9,68.4,58.7,0,0,4,0,,109.4,0.0,0,0,0,0,0,0,0.0,43,10.8
Gaston Moore,123756,QB,TENNESSEE,2,75.0,4,4,13.5,2.2,0,0,0.0,75.0,3,0,0,0.0,4,0,1,307,63.3,55.9,55.3,,0,1,4,0,,52.1,0.0,0,0,0,0,0,1,25.0,26,6.5
